"","X","order","Col2","S_ID","sample.","site","month","day","microsite","rep","method","location","quantity","order.1","family","subfamily","Col16","genus","species","highest.rtu","Size..mm.","width","sex","Col23","uniID"
"37",742,1707,NA,NA,NA,"Coal","July",19,"open",10,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalJulyopen10"
"38",743,1839,NA,NA,NA,"Coal","Sept",9,"open",10,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalSeptopen10"
"39",744,1562,NA,NA,NA,"Coal","Aug",11,"open",11,"PT","ET",3,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalAugopen11"
"40",745,1719,NA,NA,NA,"Coal","July",19,"open",11,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalJulyopen11"
"41",746,1576,NA,NA,NA,"Coal","Aug",11,"open",12,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalAugopen12"
"42",747,1731,NA,NA,NA,"Coal","July",19,"open",12,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalJulyopen12"
"43",748,1861,NA,NA,NA,"Coal","Sept",9,"open",12,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalSeptopen12"
"44",749,1755,NA,NA,NA,"Coal","Sept",9,"shrub",1,"PT","ET",3,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalSeptshrub1"
"45",750,1766,NA,NA,NA,"Coal","Sept",9,"shrub",2,"PT","ET",5,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalSeptshrub2"
"46",751,1775,NA,NA,NA,"Coal","Sept",9,"shrub",3,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalSeptshrub3"
