"","Cyphomyrmexwheeleri","Dorymyrmexbicolor","Dorymyrmexinsanus","Foreliuspruinosis","Messorandrei","Messorpergandei","Myrmecocystus","Pheidolehyatti","Pogonomyrmexcalifornicus","Solenopsisaurea","Solenopsismolesta","Solenopsisxyloni","Temnothoraxandrei","uniID"
"268",0,1,0,0,0,0,0,0,0,0,0,1,0,"LokJulyshrub5"
"269",0,0,0,0,0,0,0,0,0,0,0,1,0,"LokJulyshrub7"
"270",0,0,0,0,0,0,0,0,0,0,0,1,0,"LokJulyshrub9"
"271",0,1,0,0,0,0,2,0,0,0,0,19,0,"LokSeptopen1"
"272",0,0,0,0,0,0,0,0,0,0,0,2,0,"LokSeptopen10"
"273",0,1,0,0,0,0,0,0,0,0,0,9,0,"LokSeptopen11"
"274",0,0,0,0,0,0,0,0,0,0,0,1,0,"LokSeptopen12"
"275",0,0,0,0,0,0,0,0,0,0,0,23,0,"LokSeptopen2"
"276",0,0,0,0,0,0,0,0,0,0,0,4,0,"LokSeptopen3"
"277",0,0,0,0,0,0,0,0,0,0,0,3,0,"LokSeptopen4"
"278",0,0,0,0,0,0,0,0,0,0,0,45,0,"LokSeptopen5"
"279",0,1,0,0,0,0,0,0,0,0,0,0,0,"LokSeptopen6"
"280",0,0,0,0,0,0,0,0,0,0,0,2,0,"LokSeptopen7"
"281",0,4,0,0,0,1,0,0,0,0,0,0,0,"LokSeptopen8"
"282",0,0,0,0,0,0,0,0,0,0,0,2,0,"LokSeptopen9"
"283",0,0,0,0,0,0,0,0,0,0,0,13,0,"LokSeptshrub10"
"284",0,0,0,0,0,0,0,0,0,0,0,10,0,"LokSeptshrub11"
"285",0,0,0,0,0,0,0,0,0,0,0,7,0,"LokSeptshrub12"
"286",0,0,0,0,0,0,0,0,0,0,0,2,0,"LokSeptshrub2"
"287",0,0,0,0,0,0,0,1,0,0,0,8,0,"LokSeptshrub3"
"288",0,0,0,0,0,0,0,0,0,0,0,14,0,"LokSeptshrub4"
"289",0,0,0,0,0,1,0,0,0,0,0,6,0,"LokSeptshrub5"
"290",0,0,0,0,0,0,0,0,0,0,0,43,0,"LokSeptshrub6"
"291",0,0,0,0,0,0,0,0,0,0,0,26,0,"LokSeptshrub7"
"292",0,2,0,0,0,0,0,0,0,0,0,2,0,"LokSeptshrub8"
"293",0,0,0,0,0,0,1,0,0,0,0,1,0,"MovAugopen1"
"294",0,0,0,0,0,0,0,0,0,0,0,10,0,"MovAugopen10"
"295",0,6,0,0,0,0,0,0,0,0,0,2,0,"MovAugopen11"
"296",0,0,0,0,0,0,0,0,0,0,0,4,0,"MovAugopen12"
"297",0,0,0,0,0,0,1,0,0,0,0,0,0,"MovAugopen2"
"298",0,0,0,0,0,0,1,0,0,0,0,18,0,"MovAugopen3"
"299",0,0,0,0,0,0,0,0,0,0,0,43,0,"MovAugopen4"
"300",0,0,0,0,0,0,0,0,0,0,0,5,0,"MovAugopen5"
"301",0,0,0,0,0,0,0,0,0,0,0,7,0,"MovAugopen6"
"302",0,0,0,0,0,0,0,0,0,0,0,16,0,"MovAugopen8"
"303",0,3,0,0,0,0,0,0,0,0,0,7,0,"MovAugopen9"
"304",0,0,0,0,0,0,0,0,0,0,0,1,0,"MovAugshrub1"
"305",0,0,0,0,0,0,0,0,0,0,0,9,0,"MovAugshrub10"
"306",0,7,0,0,0,0,0,0,0,0,0,71,0,"MovAugshrub11"
"307",0,0,0,0,0,0,0,0,0,0,0,150,0,"MovAugshrub12"
"308",0,0,0,0,0,0,1,0,0,0,0,0,0,"MovAugshrub2"
"309",0,0,0,0,0,0,0,0,0,0,0,2,0,"MovAugshrub3"
"310",0,0,0,0,0,0,0,0,0,0,0,2,0,"MovAugshrub4"
"311",0,0,0,0,0,0,0,0,0,0,0,1,0,"MovAugshrub5"
"312",0,0,0,0,0,0,0,0,0,0,0,6,0,"MovAugshrub6"
"313",0,0,0,0,0,0,0,0,0,0,0,9,0,"MovAugshrub7"
"314",0,0,0,0,0,0,0,0,0,0,0,116,0,"MovAugshrub8"
"315",0,0,0,0,0,0,0,0,0,0,0,10,0,"MovAugshrub9"
"316",0,0,0,0,0,0,0,0,0,0,0,52,0,"MovJulyopen10"
"317",0,0,0,0,0,0,0,0,0,0,0,3,0,"MovJulyopen11"
"318",0,0,0,0,0,0,0,0,0,0,0,1,0,"MovJulyopen12"
"319",0,0,0,0,0,0,0,0,0,0,0,25,0,"MovJulyopen2"
"320",0,0,0,0,0,0,0,0,0,0,0,2,0,"MovJulyopen3"
"321",0,0,0,0,0,0,1,0,0,0,0,3,0,"MovJulyopen4"
"322",0,0,0,0,0,0,1,0,0,0,0,16,0,"MovJulyopen5"
"323",0,0,0,0,0,0,1,0,0,0,0,47,0,"MovJulyopen6"
