"","Cardiocondyla","Cyphomyrmex","Dorymyrmex","Forelius","Messor","Myrmecocystus","Pheidole","Pogonomyrmex","Solenopsis"
"198",0,0,0,0,0,0,0,0,1
"199",0,0,0,0,0,0,0,0,4
"200",0,0,0,0,0,0,0,0,75
"201",0,0,0,0,0,0,0,0,2
"202",0,0,0,0,0,0,0,0,1
"203",0,0,0,0,0,0,0,0,35
"204",0,0,0,0,0,0,0,0,1
"205",0,0,0,0,0,0,0,0,13
"206",0,0,0,0,0,0,0,0,8
"207",0,0,0,0,0,0,0,0,3
"208",0,0,0,0,0,0,0,0,3
"209",0,0,0,0,0,0,0,0,2
"210",0,0,0,0,0,0,23,0,1
"211",0,0,0,0,0,0,8,0,1
"212",0,0,0,0,0,0,0,0,23
"213",0,0,0,0,0,0,1,0,0
"214",0,0,0,0,0,0,12,0,0
"215",0,0,0,0,0,0,0,0,9
"216",1,0,0,0,0,0,0,0,3
"217",0,0,0,0,0,0,6,0,0
"218",0,0,0,0,0,0,0,0,77
"219",2,0,0,0,0,0,21,0,3
"220",0,4,0,0,0,0,0,0,12
"221",0,0,0,0,0,0,11,0,0
"222",1,0,0,0,0,0,78,0,0
"223",0,0,0,0,0,0,59,0,0
"224",0,0,0,0,0,0,0,0,12
"225",0,0,0,0,0,0,1,0,1
"226",0,0,0,0,0,0,2,0,1
"227",0,0,0,0,0,0,4,0,0
"228",0,0,0,0,0,0,1,0,0
"229",0,0,0,0,54,5,0,0,0
"230",0,0,0,0,0,0,3,0,2
"231",0,0,0,0,1887,4,13,0,0
"232",0,0,0,0,0,0,13,0,0
"233",0,0,0,0,0,0,22,0,0
"234",0,0,0,0,0,0,11,0,0
"235",0,0,0,0,0,0,4,0,1
"236",0,0,0,0,0,0,22,0,0
"237",0,0,0,0,0,0,15,0,1
"238",0,0,0,0,0,0,61,0,0
"239",0,0,0,0,0,0,11,0,15
"240",0,0,0,0,2,1,0,0,21
"241",0,0,0,0,1,0,42,0,33
"242",0,0,0,0,1,0,33,0,7
"243",0,0,0,0,0,0,18,0,0
"244",1,0,0,0,0,0,30,0,0
"245",0,0,0,0,0,0,91,0,19
"246",0,0,0,0,0,0,0,0,6
"247",0,0,0,0,0,0,1,0,0
"248",0,0,0,0,0,0,0,0,9
"249",0,0,0,0,0,2,0,0,1
"250",0,0,1,0,0,0,0,0,2
"251",0,0,0,0,0,1,0,0,0
"252",0,0,0,0,0,0,1,0,0
"253",0,0,0,0,0,0,0,0,1
"254",0,0,1,0,0,0,0,0,0
"255",0,0,0,0,0,0,0,0,6
"256",0,0,0,0,0,0,0,0,1
"257",0,0,0,0,0,0,12,0,0
"258",0,0,0,0,0,0,0,0,10
"259",0,0,0,0,0,0,0,0,4
"260",0,0,0,0,0,0,0,0,6
"261",0,0,0,0,0,0,0,0,2
"262",0,0,0,0,0,0,0,0,31
"263",0,0,0,0,0,0,0,0,6
"264",0,0,0,0,0,0,0,0,4
"265",0,0,0,0,0,0,0,0,14
"266",0,0,0,0,0,0,0,0,16
"267",0,0,0,0,0,0,0,0,30
"268",0,0,0,0,0,0,0,0,3
"269",0,0,0,0,0,0,12,0,5
"270",0,0,0,0,0,0,0,0,37
"271",0,0,0,0,0,0,0,0,3
"272",0,0,10,0,0,0,0,0,20
"273",0,0,0,0,0,0,0,0,8
"274",0,0,0,0,0,0,0,0,7
"275",0,0,0,0,0,0,0,0,9
"276",0,0,0,0,0,0,0,0,2
"277",0,0,0,0,0,0,4,0,0
"278",0,0,0,1,0,0,0,0,1
"279",0,0,0,0,0,0,8,0,5
"280",0,0,0,0,0,0,0,0,12
"281",0,0,0,0,0,0,0,0,19
"282",0,0,0,0,0,0,6,0,13
"283",0,0,2,0,0,0,2,0,0
"284",0,0,6,0,0,0,0,0,15
"285",0,0,0,0,0,0,0,0,5
"286",0,0,0,0,0,0,1,0,5
"287",0,0,0,1,0,0,5,0,2
"288",0,0,0,0,0,0,0,0,14
"289",0,0,0,1,0,0,9,0,67
"290",0,0,0,1,0,0,44,0,17
"291",0,0,1,0,0,0,31,0,12
"292",0,0,0,0,0,0,13,0,2
"293",0,0,0,3,0,0,22,0,24
"294",0,0,0,5,0,0,0,0,48
"295",0,0,2,0,0,0,37,0,17
"296",0,0,0,0,0,0,2,0,7
"297",0,0,0,0,0,0,8,0,9
"298",0,0,0,0,0,0,32,0,1
"299",0,0,0,0,0,0,39,0,0
"300",0,0,0,0,0,0,0,0,9
"301",0,0,0,0,0,0,0,0,0
"302",0,0,0,0,0,0,0,0,0
"303",0,0,0,0,0,0,0,0,0
"304",0,0,0,0,0,0,0,0,0
"305",0,0,0,0,0,0,0,0,0
"306",0,0,0,0,0,0,0,0,0
"307",0,0,0,0,0,0,0,0,0
"308",0,0,0,0,0,0,0,0,0
"309",0,0,0,0,0,0,0,0,0
"310",0,0,0,0,0,0,0,0,0
"311",0,0,0,0,0,0,0,0,0
"312",0,0,0,0,0,0,0,0,0
"313",0,0,0,0,0,0,0,0,0
"314",0,0,0,0,0,0,0,0,0
"315",0,0,0,0,0,0,0,0,0
"316",0,0,0,0,0,0,0,0,0
"317",0,0,0,0,0,0,0,0,0
"318",0,0,0,0,0,0,0,0,0
"319",0,0,0,0,0,0,0,0,0
"320",0,0,0,0,0,0,0,0,0
"321",0,0,0,0,0,0,0,0,0
"322",0,0,0,0,0,0,0,0,0
"323",0,0,0,0,0,0,0,0,0
"324",0,0,0,0,0,0,0,0,0
"325",0,0,0,0,0,0,0,0,0
"326",0,0,0,0,0,0,0,0,0
"327",0,0,0,0,0,0,0,0,0
"328",0,0,0,0,0,0,0,0,0
"329",0,0,0,0,0,0,0,0,0
"330",0,0,0,0,0,0,0,0,0
"331",0,0,0,0,0,0,0,0,0
"332",0,0,0,0,0,0,0,0,0
"333",0,0,0,0,0,0,0,0,0
"334",0,0,0,0,0,0,0,0,0
"335",0,0,0,0,0,0,0,0,0
"336",0,0,0,0,0,0,0,0,0
"337",0,0,0,0,0,0,0,0,0
"338",0,0,0,0,0,0,0,0,0
"339",0,0,0,0,0,0,0,0,0
"340",0,0,0,0,0,0,0,0,0
"341",0,0,0,0,0,0,0,0,0
"342",0,0,0,0,0,0,0,0,0
"343",0,0,0,0,0,0,0,0,0
"344",0,0,0,0,0,0,0,0,0
