"","gabi_acc_number","accession_number","citation","genus_name_pub","species_name_pub","valid_species_name","type_of_data","dubious","note_dubious","locality","country","adm1","adm2","dec_lat","dec_long","bentity2_name","insert_date","update_date"
"41","GABI_01307628","OSUC 51603","Triplehorn Insect Collection (OSUC), Ohio State University (GBIF)","Solenopsis","xyloni  ","Solenopsis.xyloni","Museum Specimen","","","Lucedale, George Co., MS","USA","Mississippi","George","30.92","-88.59","Mississippi","2015/04/03 10:46:19.586684+09","2019/06/30 09:45:05.602033+09"
"42","GABI_01307642","OSUC 51610","Triplehorn Insect Collection (OSUC), Ohio State University (GBIF)","Solenopsis","xyloni  ","Solenopsis.xyloni","Museum Specimen","","","Greenwood Springs, Monroe Co., MS","USA","Mississippi","Monroe","33.8869","-88.3089","Mississippi","2015/04/03 10:46:19.586684+09","2019/06/30 09:45:05.602033+09"
"43","GABI_01307655","OSUC 51617","Triplehorn Insect Collection (OSUC), Ohio State University (GBIF)","Solenopsis","xyloni  ","Solenopsis.xyloni","Museum Specimen","","","Mississippi State University, Oktibbeha Co., MS","USA","Mississippi","Oktibbeha","33.4547","-88.7886","Mississippi","2015/04/03 10:46:19.586684+09","2019/06/30 09:45:05.602033+09"
"44","GABI_01307660","OSUC 51619","Triplehorn Insect Collection (OSUC), Ohio State University (GBIF)","Solenopsis","xyloni  ","Solenopsis.xyloni","Museum Specimen","","","16mi S. Prescott, Yavapai Co., AZ","USA","Arizona","Yavapai","34.54","-112.4678","Arizona","2015/04/03 10:46:19.586684+09","2019/06/30 09:45:05.602033+09"
"45","GABI_01307661","OSUC 51620","Triplehorn Insect Collection (OSUC), Ohio State University (GBIF)","Solenopsis","xyloni  ","Solenopsis.xyloni","Museum Specimen","","","16mi S. Prescott, Yavapai Co., AZ","USA","Arizona","Yavapai","34.54","-112.4678","Arizona","2015/04/03 10:46:19.586684+09","2019/06/30 09:45:05.602033+09"
"46","GABI_01307664","OSUC 51621","Triplehorn Insect Collection (OSUC), Ohio State University (GBIF)","Solenopsis","xyloni  ","Solenopsis.xyloni","Museum Specimen","","","16mi S. Prescott, Yavapai Co., AZ","USA","Arizona","Yavapai","34.54","-112.4678","Arizona","2015/04/03 10:46:19.586684+09","2019/06/30 09:45:05.602033+09"
"47","GABI_01702023","Benoit-Lit-Data-435726","MacKay_Collection_39324","Solenopsis","xyloni","Solenopsis.xyloni","Personal Collection","","","Lost Dutchman State Park,  4.2k NE Apache Junction","USA","Arizona","Pinal","33.45416667","-111.4827222","Arizona","2016/05/25 01:56:12.738374+09","2019/06/30 09:45:05.602033+09"
"48","GABI_01702024","Benoit-Lit-Data-435727","MacKay_Collection_39327","Solenopsis","xyloni","Solenopsis.xyloni","Personal Collection","","","Lost Dutchman State Park,  4.2k NE Apache Junction","USA","Arizona","Pinal","33.45416667","-111.4827222","Arizona","2016/05/25 01:56:12.738374+09","2019/06/30 09:45:05.602033+09"
"49","GABI_01702025","Benoit-Lit-Data-435777","MacKay_Collection_11068","Solenopsis","xyloni","Solenopsis.xyloni","Personal Collection","","","20.6k N Glenwood","USA","New Mexico","Catron","33.50644444","-108.9017778","New Mexico","2016/05/25 01:56:12.738374+09","2019/06/30 09:45:05.602033+09"
"50","GABI_01702026","Benoit-Lit-Data-435513","MacKay_Collection_10913","Solenopsis","xyloni","Solenopsis.xyloni","Personal Collection","","","Leopold Vista","USA","New Mexico","Grant","33.18388889","-108.8283611","New Mexico","2016/05/25 01:56:12.738374+09","2019/06/30 09:45:05.602033+09"
"51","GABI_01702028","Benoit-Lit-Data-435350","MacKay_Collection_274","Solenopsis","xyloni","Solenopsis.xyloni","Personal Collection","","","18.43 KE Sweetwater","USA","Texas","Nolan","32.48647222","-100.20875","Texas","2016/05/25 01:56:12.738374+09","2019/06/30 09:45:05.602033+09"
"52","GABI_01702029","Benoit-Lit-Data-434560","MacKay_Collection_35027","Solenopsis","xyloni","Solenopsis.xyloni","Personal Collection","","","Alice, rd 931 south","USA","Texas","Nueces","27.77888056","-98.06533056","Texas","2016/05/25 01:56:12.738374+09","2019/06/30 09:45:05.602033+09"
"53","GABI_01315130","Robert-Johnson-3596","Johnson R. Personnal Database. Accessed on February 5th 2014 at http://www.asu.edu/clas/sirgtools/resources.htm","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","San Diego: I-8 at 0.5mi E Cameron Station","USA","California","San Diego County","32.71694444","-116.4513889","California","2015/04/03 10:46:25.094041+09","2019/06/30 09:45:05.602033+09"
"54","GABI_01316927","Robert-Johnson-5886","Johnson R. Personnal Database. Accessed on February 5th 2014 at http://www.asu.edu/clas/sirgtools/resources.htm","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Kerr: Camp Verde","USA","Texas","Kerr County","29.88555556","-99.10138889","Texas","2015/04/03 10:46:26.847222+09","2019/06/30 09:45:05.602033+09"
"55","GABI_01153005","iDigBio-0071945","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","Camp Verde","USA","Texas","Kerr County","29.89361","-99.10444","Texas","2015/04/03 10:44:35.414888+09","2019/06/30 09:45:05.602033+09"
"56","GABI_02328041","Benoit-Lit-Data-990224","UAiC_UAiC1025861_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"57","GABI_02328042","Benoit-Lit-Data-990225","UAiC_UAiC1025862_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"58","GABI_02328043","Benoit-Lit-Data-990226","UAiC_UAiC1025863_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"59","GABI_02328044","Benoit-Lit-Data-990228","UAiC_UAiC1025865_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"60","GABI_02328045","Benoit-Lit-Data-990229","UAiC_UAiC1025866_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"61","GABI_02328046","Benoit-Lit-Data-990230","UAiC_UAiC1025867_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"62","GABI_02328047","Benoit-Lit-Data-990231","UAiC_UAiC1025868_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"63","GABI_02328050","Benoit-Lit-Data-990238","UAiC_UAiC1025875_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"64","GABI_02328051","Benoit-Lit-Data-990241","UAiC_UAiC1025878_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"65","GABI_02328052","Benoit-Lit-Data-990242","UAiC_UAiC1025879_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"66","GABI_02328053","Benoit-Lit-Data-990243","UAiC_UAiC1025880_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"67","GABI_02328054","Benoit-Lit-Data-990244","UAiC_UAiC1025881_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"68","GABI_02328055","Benoit-Lit-Data-990245","UAiC_UAiC1025882_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
