Photo,Label,,Measure,Trait,
PaPl 3.9.jpg,4,-58.021,0.968,Head length,Myrmecocystus
PaPl 3.9.jpg,5,124.695,0.264,Eye length,Myrmecocystus
PaPl 3.9.jpg,6,-133.727,0.133,Eye width,Myrmecocystus
PaPl 3.9.jpg,7,-147.787,0.852,Head width,Myrmecocystus
PaPl 3.9.jpg,8,55.413,1.402,Webers,Myrmecocystus
PaPl 3.10.jpg,1,95.593,1.411,Femur,Myrmecocystus
PaPl 3.10.jpg,2,98.949,1.071,Scape,Myrmecocystus
PaPl 3.10.jpg,3,173.48,0.514,Mandible length,Myrmecocystus
PaPl 3.10.jpg,4,-128.106,0.908,Head length,Myrmecocystus
PaPl 3.10.jpg,5,-125.754,0.257,Eye length,Myrmecocystus
PaPl 3.10.jpg,6,140.774,0.132,Eye width,Myrmecocystus
PaPl 3.10.jpg,7,142.125,0.808,Head width,Myrmecocystus
PaPl 3.10.jpg,8,44.935,1.304,Webers,Myrmecocystus
PaPl 3.11.jpg,1,129.237,1.549,Femur,Myrmecocystus
PaPl 3.11.jpg,2,-75.056,1.163,Scape,Myrmecocystus
PaPl 3.11.jpg,3,-179.61,0.588,Mandible length,Myrmecocystus
PaPl 3.11.jpg,4,-115.102,0.98,Head length,Myrmecocystus
PaPl 3.11.jpg,5,-118.61,0.25,Eye length,Myrmecocystus
PaPl 3.11.jpg,6,155.095,0.123,Eye width,Myrmecocystus
PaPl 3.11.jpg,7,155.153,0.894,Head width,Myrmecocystus
PaPl 3.11.jpg,8,64.677,1.402,Webers,Myrmecocystus
PaPl 3.12.jpg,1,-45.888,1.425,Femur,Myrmecocystus
PaPl 3.12.jpg,2,92.09,1.071,Scape,Myrmecocystus
PaPl 3.12.jpg,3,-179.132,0.516,Mandible length,Myrmecocystus
PaPl 3.12.jpg,4,113.261,0.94,Head length,Myrmecocystus
PaPl 3.12.jpg,5,117.408,0.238,Eye length,Myrmecocystus
PaPl 3.12.jpg,6,-147.265,0.13,Eye width,Myrmecocystus
PaPl 3.12.jpg,7,-153.192,0.823,Head width,Myrmecocystus
PaPl 3.12.jpg,8,-9.926,1.269,Webers,Myrmecocystus
SemiT 1.1.jpg,1,2.588,0.744,Femur,Solenopsis xyloni
SemiT 1.1.jpg,2,-45.971,0.526,Scape,Solenopsis xyloni
SemiT 1.1.jpg,3,101.689,0.373,Mandible length,Solenopsis xyloni
SemiT 1.1.jpg,4,40.802,0.649,Head length,Solenopsis xyloni
SemiT 1.1.jpg,5,-150.255,0.102,Eye length,Solenopsis xyloni
SemiT 1.1.jpg,6,135,0.048,Eye width,Solenopsis xyloni
SemiT 1.1.jpg,7,-57.131,0.65,Head width,Solenopsis xyloni
SemiT 1.1.jpg,8,145.554,0.795,Webers,Solenopsis xyloni
SemiT 1.2.jpg,1,-145.931,0.699,Femur,Solenopsis xyloni
SemiT 1.2.jpg,2,142.779,0.544,Scape,Solenopsis xyloni
SemiT 1.2.jpg,3,122.605,0.366,Mandible length,Solenopsis xyloni
SemiT 1.2.jpg,4,52.048,0.632,Head length,Solenopsis xyloni
SemiT 1.2.jpg,5,54.638,0.106,Eye length,Solenopsis xyloni
SemiT 1.2.jpg,6,142.352,0.061,Eye width,Solenopsis xyloni
SemiT 1.2.jpg,7,137.561,0.615,Head width,Solenopsis xyloni
SemiT 1.2.jpg,8,173.224,0.848,Webers,Solenopsis xyloni
SemiT 1.3.jpg,1,132.863,0.804,Femur,Solenopsis xyloni
SemiT 1.3.jpg,2,74.745,0.628,Scape,Solenopsis xyloni
SemiT 1.3.jpg,3,55.597,0.472,Mandible length,Solenopsis xyloni
SemiT 1.3.jpg,4,112.818,0.754,Head length,Solenopsis xyloni
SemiT 1.3.jpg,5,113.499,0.106,Eye length,Solenopsis xyloni
SemiT 1.3.jpg,6,-153.435,0.057,Eye width,Solenopsis xyloni
SemiT 1.3.jpg,7,25.219,0.726,Head width,Solenopsis xyloni
SemiT 1.3.jpg,8,173.523,0.883,Webers,Solenopsis xyloni
SemiT 1.4.jpg,1,173.853,0.823,Femur,Solenopsis xyloni
SemiT 1.4.jpg,2,-44.726,0.62,Scape,Solenopsis xyloni
SemiT 1.4.jpg,3,49.921,0.45,Mandible length,Solenopsis xyloni
SemiT 1.4.jpg,4,-10.028,0.699,Head length,Solenopsis xyloni
SemiT 1.4.jpg,5,172.405,0.127,Eye length,Solenopsis xyloni
SemiT 1.4.jpg,6,86.532,0.046,Eye width,Solenopsis xyloni
SemiT 1.4.jpg,7,-98.811,0.749,Head width,Solenopsis xyloni
SemiT 1.4.jpg,8,-29.371,0.959,Webers,Solenopsis xyloni
SemiT 1.5.jpg,1,-11.373,0.745,Femur,Solenopsis xyloni
SemiT 1.5.jpg,2,66.371,0.586,Scape,Solenopsis xyloni
SemiT 1.5.jpg,3,66.894,0.342,Mandible length,Solenopsis xyloni
SemiT 1.5.jpg,4,0.173,0.697,Head length,Solenopsis xyloni
SemiT 1.5.jpg,5,2.291,0.105,Eye length,Solenopsis xyloni
SemiT 1.5.jpg,6,91.736,0.046,Eye width,Solenopsis xyloni
SemiT 1.5.jpg,7,-88.46,0.624,Head width,Solenopsis xyloni
SemiT 1.5.jpg,8,145.208,0.787,Webers,Solenopsis xyloni
SemiT 1.6.jpg,1,120.556,0.824,Femur,Solenopsis xyloni
SemiT 1.6.jpg,2,50.928,0.556,Scape,Solenopsis xyloni
SemiT 1.6.jpg,3,100.886,0.453,Mandible length,Solenopsis xyloni
SemiT 1.6.jpg,4,32.905,0.779,Head length,Solenopsis xyloni
SemiT 1.6.jpg,5,28.887,0.142,Eye length,Solenopsis xyloni
SemiT 1.6.jpg,6,123.311,0.06,Eye width,Solenopsis xyloni
SemiT 1.6.jpg,7,-60.415,0.762,Head width,Solenopsis xyloni
SemiT 1.6.jpg,8,92.626,0.932,Webers,Solenopsis xyloni
SemiT 1.7.jpg,1,31.164,1.022,Femur,Pheidole hyatti
SemiT 1.7.jpg,2,-86.556,0.902,Scape,Pheidole hyatti
SemiT 1.7.jpg,3,-165.619,0.419,Mandible length,Pheidole hyatti
SemiT 1.7.jpg,4,146.734,0.703,Head length,Pheidole hyatti
SemiT 1.7.jpg,5,144.888,0.163,Eye length,Pheidole hyatti
SemiT 1.7.jpg,6,50.964,0.099,Eye width,Pheidole hyatti
SemiT 1.7.jpg,7,54.782,0.563,Head width,Pheidole hyatti
SemiT 1.7.jpg,8,21.138,0.936,Webers,Pheidole hyatti
SemiT 1.8.jpg,1,98.696,1.084,Femur,Pheidole hyatti
SemiT 1.8.jpg,2,170.77,1.021,Scape,Pheidole hyatti
SemiT 1.8.jpg,3,70.589,0.468,Mandible length,Pheidole hyatti
SemiT 1.8.jpg,4,122.574,0.718,Head length,Pheidole hyatti
SemiT 1.8.jpg,5,123.311,0.176,Eye length,Pheidole hyatti
SemiT 1.8.jpg,6,38.66,0.108,Eye width,Pheidole hyatti
SemiT 1.8.jpg,7,29.65,0.628,Head width,Pheidole hyatti
SemiT 1.8.jpg,8,-168.098,0.957,Webers,Pheidole hyatti
SemiT 1.9.jpg,1,45,1.049,Femur,Pheidole hyatti
SemiT 1.9.jpg,2,-92.899,0.988,Scape,Pheidole hyatti
SemiT 1.9.jpg,3,-87.455,0.375,Mandible length,Pheidole hyatti
SemiT 1.9.jpg,4,-31.973,0.771,Head length,Pheidole hyatti
SemiT 1.9.jpg,5,-31.079,0.178,Eye length,Pheidole hyatti
SemiT 1.9.jpg,6,53.366,0.101,Eye width,Pheidole hyatti
SemiT 1.9.jpg,7,56.104,0.642,Head width,Pheidole hyatti
SemiT 1.9.jpg,8,10.101,1.045,Webers,Pheidole hyatti
SemiT 1.10.jpg,1,-58.997,1.053,Femur,Pheidole hyatti
SemiT 1.10.jpg,2,-51.065,0.964,Scape,Pheidole hyatti
SemiT 1.10.jpg,3,48.059,0.393,Mandible length,Pheidole hyatti
SemiT 1.10.jpg,4,-3.162,0.768,Head length,Pheidole hyatti
SemiT 1.10.jpg,5,-7.125,0.171,Eye length,Pheidole hyatti
SemiT 1.10.jpg,6,81.469,0.086,Eye width,Pheidole hyatti
SemiT 1.10.jpg,7,84.806,0.608,Head width,Pheidole hyatti
SemiT 1.10.jpg,8,30.337,0.864,Webers,Pheidole hyatti
SemiT 1.11.jpg,1,142.445,1.02,Femur,Pheidole hyatti
SemiT 1.11.jpg,2,3.33,0.945,Scape,Pheidole hyatti
SemiT 1.11.jpg,3,133.431,0.42,Mandible length,Pheidole hyatti
SemiT 1.11.jpg,4,73.664,0.737,Head length,Pheidole hyatti
SemiT 1.11.jpg,5,-104.744,0.16,Eye length,Pheidole hyatti
SemiT 1.11.jpg,6,160.71,0.086,Eye width,Pheidole hyatti
SemiT 1.11.jpg,7,165.493,0.6,Head width,Pheidole hyatti
SemiT 1.11.jpg,8,-79.931,0.884,Webers,Pheidole hyatti
SemiT 1.12.jpg,1,-108.072,0.845,Femur,Pheidole hyatti
SemiT 1.12.jpg,2,26.729,0.992,Scape,Pheidole hyatti
SemiT 1.12.jpg,3,177.534,0.442,Mandible length,Pheidole hyatti
SemiT 1.12.jpg,4,-124.305,0.765,Head length,Pheidole hyatti
SemiT 1.12.jpg,5,-128.234,0.178,Eye length,Pheidole hyatti
SemiT 1.12.jpg,6,146.611,0.111,Eye width,Pheidole hyatti
SemiT 1.12.jpg,7,144.372,0.624,Head width,Pheidole hyatti
SemiT 1.12.jpg,8,123.762,0.936,Webers,Pheidole hyatti
SemiT 2.1.jpg,1,161.957,1.157,Femur,Dorymyrmex bicolor
SemiT 2.1.jpg,2,-62.447,0.864,Scape,Dorymyrmex bicolor
SemiT 2.1.jpg,3,-73.686,0.445,Mandible length,Dorymyrmex bicolor
SemiT 2.1.jpg,4,4.608,0.83,Head length,Dorymyrmex bicolor
SemiT 2.1.jpg,5,6.563,0.237,Eye length,Dorymyrmex bicolor
SemiT 2.1.jpg,6,98.13,0.118,Eye width,Dorymyrmex bicolor
SemiT 2.1.jpg,7,-88.137,0.769,Head width,Dorymyrmex bicolor
SemiT 2.1.jpg,8,-96.723,1.032,Webers,Dorymyrmex bicolor
SemiT 2.2.jpg,1,145.607,0.841,Femur,Dorymyrmex bicolor
SemiT 2.2.jpg,2,-22.19,0.678,Scape,Dorymyrmex bicolor
SemiT 2.2.jpg,3,-2.776,0.341,Mandible length,Dorymyrmex bicolor
SemiT 2.2.jpg,4,81.241,0.692,Head length,Dorymyrmex bicolor
SemiT 2.2.jpg,5,80.77,0.167,Eye length,Dorymyrmex bicolor
SemiT 2.2.jpg,6,168.44,0.093,Eye width,Dorymyrmex bicolor
SemiT 2.2.jpg,7,171.163,0.592,Head width,Dorymyrmex bicolor
SemiT 2.2.jpg,8,-152.659,0.819,Webers,Dorymyrmex bicolor
SemiT 2.3.jpg,1,70.281,1.256,Femur,Dorymyrmex bicolor
SemiT 2.3.jpg,2,109.601,0.922,Scape,Dorymyrmex bicolor
SemiT 2.3.jpg,3,19.722,0.477,Mandible length,Dorymyrmex bicolor
SemiT 2.3.jpg,4,107.25,0.972,Head length,Dorymyrmex bicolor
SemiT 2.3.jpg,5,-81.425,0.27,Eye length,Dorymyrmex bicolor
SemiT 2.3.jpg,6,-167.074,0.133,Eye width,Dorymyrmex bicolor
SemiT 2.3.jpg,7,-163.038,0.886,Head width,Dorymyrmex bicolor
SemiT 2.3.jpg,8,19.079,1.193,Webers,Dorymyrmex bicolor
SemiT 2.4.jpg,1,119.681,0.918,Femur,Dorymyrmex bicolor
SemiT 2.4.jpg,2,95.839,0.731,Scape,Dorymyrmex bicolor
SemiT 2.4.jpg,3,70.224,0.391,Mandible length,Dorymyrmex bicolor
SemiT 2.4.jpg,4,154.026,0.717,Head length,Dorymyrmex bicolor
SemiT 2.4.jpg,5,157.38,0.215,Eye length,Dorymyrmex bicolor
SemiT 2.4.jpg,6,68.962,0.115,Eye width,Dorymyrmex bicolor
SemiT 2.4.jpg,7,64.265,0.638,Head width,Dorymyrmex bicolor
SemiT 2.4.jpg,8,49.316,0.932,Webers,Dorymyrmex bicolor
SemiT 2.5.jpg,1,22.322,1.09,Femur,Dorymyrmex bicolor
SemiT 2.5.jpg,2,98.683,0.842,Scape,Dorymyrmex bicolor
SemiT 2.5.jpg,3,67.011,0.441,Mandible length,Dorymyrmex bicolor
SemiT 2.5.jpg,4,140.45,0.824,Head length,Dorymyrmex bicolor
SemiT 2.5.jpg,5,141.009,0.221,Eye length,Dorymyrmex bicolor
SemiT 2.5.jpg,6,51.34,0.105,Eye width,Dorymyrmex bicolor
SemiT 2.5.jpg,7,52.624,0.743,Head width,Dorymyrmex bicolor
SemiT 2.5.jpg,8,10.55,1.03,Webers,Dorymyrmex bicolor
SemiT 2.6.jpg,1,-28.113,1.052,Femur,Dorymyrmex bicolor
SemiT 2.6.jpg,2,14.683,0.819,Scape,Dorymyrmex bicolor
SemiT 2.6.jpg,3,149.494,0.455,Mandible length,Dorymyrmex bicolor
SemiT 2.6.jpg,4,-124.621,0.831,Head length,Dorymyrmex bicolor
SemiT 2.6.jpg,5,-135,0.216,Eye length,Dorymyrmex bicolor
SemiT 2.6.jpg,6,-45.725,0.118,Eye width,Dorymyrmex bicolor
SemiT 2.6.jpg,7,139.168,0.742,Head width,Dorymyrmex bicolor
SemiT 2.6.jpg,8,55.768,0.994,Webers,Dorymyrmex bicolor
SemiT 2.7.jpg,1,126.146,1.736,Femur,Myrmecocystus
SemiT 2.7.jpg,2,150.705,1.221,Scape,Myrmecocystus
SemiT 2.7.jpg,3,123.007,0.567,Mandible length,Myrmecocystus
SemiT 2.7.jpg,4,59.514,1.17,Head length,Myrmecocystus
SemiT 2.7.jpg,5,-116.565,0.254,Eye length,Myrmecocystus
SemiT 2.7.jpg,6,150.945,0.167,Eye width,Myrmecocystus
SemiT 2.7.jpg,7,146.947,1.013,Head width,Myrmecocystus
SemiT 2.7.jpg,8,-170.346,1.6,Webers,Myrmecocystus
SiCr 1.1.jpg,1,60.143,0.899,Femur,Solenopsis xyloni
SiCr 1.1.jpg,2,14.331,0.667,Scape,Solenopsis xyloni
SiCr 1.1.jpg,3,-154.949,0.479,Mandible length,Solenopsis xyloni
SiCr 1.1.jpg,4,141.194,0.865,Head length,Solenopsis xyloni
SiCr 1.1.jpg,5,137.862,0.133,Eye length,Solenopsis xyloni
SiCr 1.1.jpg,6,-128.66,0.06,Eye width,Solenopsis xyloni
SiCr 1.1.jpg,7,52.411,0.827,Head width,Solenopsis xyloni
SiCr 1.1.jpg,8,-144.689,0.97,Webers,Solenopsis xyloni
SiCr 1.2.jpg,1,-148.536,0.748,Femur,Solenopsis xyloni
SiCr 1.2.jpg,2,-115.694,0.56,Scape,Solenopsis xyloni
SiCr 1.2.jpg,3,-33.99,0.379,Mandible length,Solenopsis xyloni
SiCr 1.2.jpg,4,-93.981,0.651,Head length,Solenopsis xyloni
SiCr 1.2.jpg,5,82.235,0.106,Eye length,Solenopsis xyloni
SiCr 1.2.jpg,6,170.91,0.06,Eye width,Solenopsis xyloni
SiCr 1.2.jpg,7,172.168,0.646,Head width,Solenopsis xyloni
SiCr 1.2.jpg,8,-178.838,0.821,Webers,Solenopsis xyloni
SiCr 1.3.jpg,1,106.246,0.748,Femur,Solenopsis xyloni
SiCr 1.3.jpg,2,92.01,0.543,Scape,Solenopsis xyloni
SiCr 1.3.jpg,3,171.545,0.356,Mandible length,Solenopsis xyloni
SiCr 1.3.jpg,4,119.44,0.721,Head length,Solenopsis xyloni
SiCr 1.3.jpg,5,119.291,0.112,Eye length,Solenopsis xyloni
SiCr 1.3.jpg,6,35.538,0.041,Eye width,Solenopsis xyloni
SiCr 1.3.jpg,7,31.852,0.658,Head width,Solenopsis xyloni
SiCr 1.3.jpg,8,-52.095,0.79,Webers,Solenopsis xyloni
SiCr 1.4.jpg,1,-136.461,0.66,Femur,Solenopsis xyloni
SiCr 1.4.jpg,2,-61.754,0.508,Scape,Solenopsis xyloni
SiCr 1.4.jpg,3,-15.742,0.368,Mandible length,Solenopsis xyloni
SiCr 1.4.jpg,4,53.734,0.587,Head length,Solenopsis xyloni
SiCr 1.4.jpg,5,57.265,0.119,Eye length,Solenopsis xyloni
SiCr 1.4.jpg,6,140.389,0.045,Eye width,Solenopsis xyloni
SiCr 1.4.jpg,7,142.943,0.585,Head width,Solenopsis xyloni
SiCr 1.4.jpg,8,132.58,0.718,Webers,Solenopsis xyloni
SiCr 1.5.jpg,1,-165.887,0.859,Femur,Solenopsis xyloni
SiCr 1.5.jpg,2,120.643,0.584,Scape,Solenopsis xyloni
SiCr 1.5.jpg,3,-23.062,0.523,Mandible length,Solenopsis xyloni
SiCr 1.5.jpg,4,33.111,0.915,Head length,Solenopsis xyloni
SiCr 1.5.jpg,5,-143.471,0.16,Eye length,Solenopsis xyloni
SiCr 1.5.jpg,6,126.87,0.056,Eye width,Solenopsis xyloni
SiCr 1.5.jpg,7,123.772,0.922,Head width,Solenopsis xyloni
SiCr 1.5.jpg,8,-21.945,1.058,Webers,Solenopsis xyloni
SiCr 1.6.jpg,1,-119.687,0.6,Femur,Solenopsis xyloni
SiCr 1.6.jpg,2,-163.317,0.555,Scape,Solenopsis xyloni
SiCr 1.6.jpg,3,15.895,0.383,Mandible length,Solenopsis xyloni
SiCr 1.6.jpg,4,64.33,0.698,Head length,Solenopsis xyloni
SiCr 1.6.jpg,5,66.801,0.111,Eye length,Solenopsis xyloni
SiCr 1.6.jpg,6,146.31,0.062,Eye width,Solenopsis xyloni
SiCr 1.6.jpg,7,155.194,0.639,Head width,Solenopsis xyloni
SiCr 1.6.jpg,8,-57.435,0.688,Webers,Solenopsis xyloni
SiCr 1.7.jpg,1,148.711,1.018,Femur,Pheidole hyatti
SiCr 1.7.jpg,2,165.964,0.931,Scape,Pheidole hyatti
SiCr 1.7.jpg,3,-123.294,0.385,Mandible length,Pheidole hyatti
SiCr 1.7.jpg,4,-169.992,0.705,Head length,Pheidole hyatti
SiCr 1.7.jpg,5,-168.857,0.162,Eye length,Pheidole hyatti
SiCr 1.7.jpg,6,100.176,0.095,Eye width,Pheidole hyatti
SiCr 1.7.jpg,7,-82.569,0.557,Head width,Pheidole hyatti
SiCr 1.7.jpg,8,39.729,0.925,Webers,Pheidole hyatti
SiCr 1.8.jpg,1,121.009,1.02,Femur,Pheidole hyatti
SiCr 1.8.jpg,2,125.622,0.93,Scape,Pheidole hyatti
SiCr 1.8.jpg,3,143.337,0.391,Mandible length,Pheidole hyatti
SiCr 1.8.jpg,4,85.501,0.721,Head length,Pheidole hyatti
SiCr 1.8.jpg,5,87.474,0.16,Eye length,Pheidole hyatti
SiCr 1.8.jpg,6,178.603,0.097,Eye width,Pheidole hyatti
SiCr 1.8.jpg,7,176.756,0.583,Head width,Pheidole hyatti
SiCr 1.8.jpg,8,11.178,0.802,Webers,Pheidole hyatti
SiCr 1.9.jpg,1,-104.002,0.965,Femur,Pheidole hyatti
SiCr 1.9.jpg,2,23.595,0.896,Scape,Pheidole hyatti
SiCr 1.9.jpg,3,-85.093,0.312,Mandible length,Pheidole hyatti
SiCr 1.9.jpg,4,-132.527,0.67,Head length,Pheidole hyatti
SiCr 1.9.jpg,5,-129.806,0.16,Eye length,Pheidole hyatti
SiCr 1.9.jpg,6,138.145,0.101,Eye width,Pheidole hyatti
SiCr 1.9.jpg,7,138.113,0.532,Head width,Pheidole hyatti
SiCr 1.9.jpg,8,-66.967,0.856,Webers,Pheidole hyatti
SiCr 1.10.jpg,1,151.105,1.005,Femur,Pheidole hyatti
SiCr 1.10.jpg,2,179.697,0.908,Scape,Pheidole hyatti
SiCr 1.10.jpg,3,24.829,0.355,Mandible length,Pheidole hyatti
SiCr 1.10.jpg,4,-28.421,0.697,Head length,Pheidole hyatti
SiCr 1.10.jpg,5,-25.017,0.159,Eye length,Pheidole hyatti
SiCr 1.10.jpg,6,65.898,0.1,Eye width,Pheidole hyatti
SiCr 1.10.jpg,7,62.027,0.569,Head width,Pheidole hyatti
SiCr 1.10.jpg,8,164.46,0.933,Webers,Pheidole hyatti
SiCr 1.11.jpg,1,29.239,1.013,Femur,Pheidole hyatti
SiCr 1.11.jpg,2,-1.309,0.841,Scape,Pheidole hyatti
SiCr 1.11.jpg,3,88.562,0.383,Mandible length,Pheidole hyatti
SiCr 1.11.jpg,4,34.796,0.691,Head length,Pheidole hyatti
SiCr 1.11.jpg,5,-142.815,0.175,Eye length,Pheidole hyatti
SiCr 1.11.jpg,6,130.914,0.095,Eye width,Pheidole hyatti
SiCr 1.11.jpg,7,-53.514,0.574,Head width,Pheidole hyatti
SiCr 1.11.jpg,8,141.911,0.904,Webers,Pheidole hyatti
SiCr 1.12.jpg,1,47.895,1.024,Femur,Pheidole hyatti
SiCr 1.12.jpg,2,4.126,0.951,Scape,Pheidole hyatti
SiCr 1.12.jpg,3,41.671,0.402,Mandible length,Pheidole hyatti
SiCr 1.12.jpg,4,-16.819,0.723,Head length,Pheidole hyatti
SiCr 1.12.jpg,5,-20.031,0.161,Eye length,Pheidole hyatti
SiCr 1.12.jpg,6,66.371,0.082,Eye width,Pheidole hyatti
SiCr 1.12.jpg,7,72.015,0.57,Head width,Pheidole hyatti
SiCr 1.12.jpg,8,91.723,0.889,Webers,Pheidole hyatti
SiCr 2.1.jpg,1,129.094,0.784,Femur,Cyphomyrmex wheeleri
SiCr 2.1.jpg,2,-118.726,0.563,Scape,Cyphomyrmex wheeleri
SiCr 2.1.jpg,3,73.106,0.335,Mandible length,Cyphomyrmex wheeleri
SiCr 2.1.jpg,4,111.571,0.659,Head length,Cyphomyrmex wheeleri
SiCr 2.1.jpg,5,114.974,0.191,Eye length,Cyphomyrmex wheeleri
SiCr 2.1.jpg,6,-147.265,0.079,Eye width,Cyphomyrmex wheeleri
SiCr 2.1.jpg,7,22.032,0.659,Head width,Cyphomyrmex wheeleri
SiCr 2.1.jpg,8,82.169,1.029,Webers,Cyphomyrmex wheeleri
SiCr 2.7.jpg,1,147.529,1.086,Femur,Dorymyrmex bicolor
SiCr 2.7.jpg,2,45,0.837,Scape,Dorymyrmex bicolor
SiCr 2.7.jpg,3,11.689,0.411,Mandible length,Dorymyrmex bicolor
SiCr 2.7.jpg,4,94.259,0.872,Head length,Dorymyrmex bicolor
SiCr 2.7.jpg,5,-90,0.236,Eye length,Dorymyrmex bicolor
SiCr 2.7.jpg,6,-178.264,0.153,Eye width,Dorymyrmex bicolor
SiCr 2.7.jpg,7,-174.774,0.762,Head width,Dorymyrmex bicolor
SiCr 2.7.jpg,8,-118.334,1.072,Webers,Dorymyrmex bicolor
SiCr 2.8.jpg,1,-42.879,1.183,Femur,Dorymyrmex bicolor
SiCr 2.8.jpg,2,124.636,0.88,Scape,Dorymyrmex bicolor
SiCr 2.8.jpg,3,-158.199,0.436,Mandible length,Dorymyrmex bicolor
SiCr 2.8.jpg,4,119.312,0.859,Head length,Dorymyrmex bicolor
SiCr 2.8.jpg,5,113.102,0.247,Eye length,Dorymyrmex bicolor
SiCr 2.8.jpg,6,25.313,0.13,Eye width,Dorymyrmex bicolor
SiCr 2.8.jpg,7,26.977,0.791,Head width,Dorymyrmex bicolor
SiCr 2.8.jpg,8,32.603,1.114,Webers,Dorymyrmex bicolor
SiCr 2.9.jpg,1,-114.671,1.116,Femur,Dorymyrmex bicolor
SiCr 2.9.jpg,2,-105.033,0.879,Scape,Dorymyrmex bicolor
SiCr 2.9.jpg,3,-31.938,0.44,Mandible length,Dorymyrmex bicolor
SiCr 2.9.jpg,4,-113.629,0.847,Head length,Dorymyrmex bicolor
SiCr 2.9.jpg,5,62.425,0.246,Eye length,Dorymyrmex bicolor
SiCr 2.9.jpg,6,151.631,0.138,Eye width,Dorymyrmex bicolor
SiCr 2.9.jpg,7,156.544,0.78,Head width,Dorymyrmex bicolor
SiCr 2.9.jpg,8,87.178,1.034,Webers,Dorymyrmex bicolor
SiCr 2.10.jpg,1,109.552,1.09,Femur,Dorymyrmex bicolor
SiCr 2.10.jpg,2,140.799,0.873,Scape,Dorymyrmex bicolor
SiCr 2.10.jpg,3,-48.984,0.407,Mandible length,Dorymyrmex bicolor
SiCr 2.10.jpg,4,-127.602,0.826,Head length,Dorymyrmex bicolor
SiCr 2.10.jpg,5,-132.776,0.233,Eye length,Dorymyrmex bicolor
SiCr 2.10.jpg,6,137.337,0.111,Eye width,Dorymyrmex bicolor
SiCr 2.10.jpg,7,139.453,0.728,Head width,Dorymyrmex bicolor
SiCr 2.10.jpg,8,-165.069,1.043,Webers,Dorymyrmex bicolor
SiCr 2.11.jpg,1,113.163,1.024,Femur,Dorymyrmex bicolor
SiCr 2.11.jpg,2,96.226,0.806,Scape,Dorymyrmex bicolor
SiCr 2.11.jpg,3,64.026,0.421,Mandible length,Dorymyrmex bicolor
SiCr 2.11.jpg,4,145.281,0.75,Head length,Dorymyrmex bicolor
SiCr 2.11.jpg,5,145.739,0.203,Eye length,Dorymyrmex bicolor
SiCr 2.11.jpg,6,56.929,0.125,Eye width,Dorymyrmex bicolor
SiCr 2.11.jpg,7,59,0.667,Head width,Dorymyrmex bicolor
SiCr 2.11.jpg,8,-171.363,0.97,Webers,Dorymyrmex bicolor
SiCr 2.12.jpg,1,-132.695,1.078,Femur,Dorymyrmex bicolor
SiCr 2.12.jpg,2,14.76,0.815,Scape,Dorymyrmex bicolor
SiCr 2.12.jpg,3,104.281,0.402,Mandible length,Dorymyrmex bicolor
SiCr 2.12.jpg,4,-169.38,0.768,Head length,Dorymyrmex bicolor
SiCr 2.12.jpg,5,10.251,0.225,Eye length,Dorymyrmex bicolor
SiCr 2.12.jpg,6,99.09,0.119,Eye width,Dorymyrmex bicolor
SiCr 2.12.jpg,7,102.809,0.681,Head width,Dorymyrmex bicolor
SiCr 2.12.jpg,8,20.746,0.999,Webers,Dorymyrmex bicolor
SiCr 3.1.jpg,1,155.886,0.543,Femur,Forelius pruinosis
SiCr 3.1.jpg,2,161.565,0.542,Scape,Forelius pruinosis
SiCr 3.1.jpg,3,37.427,0.291,Mandible length,Forelius pruinosis
SiCr 3.1.jpg,4,-36.124,0.616,Head length,Forelius pruinosis
SiCr 3.1.jpg,5,-33.996,0.122,Eye length,Forelius pruinosis
SiCr 3.1.jpg,6,48.991,0.072,Eye width,Forelius pruinosis
SiCr 3.1.jpg,7,54.968,0.559,Head width,Forelius pruinosis
SiCr 3.1.jpg,8,-148.851,0.752,Webers,Forelius pruinosis
SiCr 3.2.jpg,1,176.842,0.685,Femur,Forelius pruinosis
SiCr 3.2.jpg,2,96.098,0.555,Scape,Forelius pruinosis
SiCr 3.2.jpg,3,-88.251,0.309,Mandible length,Forelius pruinosis
SiCr 3.2.jpg,4,-15.341,0.553,Head length,Forelius pruinosis
SiCr 3.2.jpg,5,-18.435,0.134,Eye length,Forelius pruinosis
SiCr 3.2.jpg,6,68.199,0.076,Eye width,Forelius pruinosis
SiCr 3.2.jpg,7,71.41,0.551,Head width,Forelius pruinosis
SiCr 3.2.jpg,8,60.382,0.792,Webers,Forelius pruinosis
SiCr 3.3.jpg,1,67.782,0.71,Femur,Forelius pruinosis
SiCr 3.3.jpg,2,137.344,0.56,Scape,Forelius pruinosis
SiCr 3.3.jpg,3,-132.709,0.287,Mandible length,Forelius pruinosis
SiCr 3.3.jpg,4,-70.017,0.542,Head length,Forelius pruinosis
SiCr 3.3.jpg,5,-81.085,0.119,Eye length,Forelius pruinosis
SiCr 3.3.jpg,6,-166.866,0.071,Eye width,Forelius pruinosis
SiCr 3.3.jpg,7,17.281,0.545,Head width,Forelius pruinosis
SiCr 3.3.jpg,8,-179.648,0.755,Webers,Forelius pruinosis
SiCr 3.5.jpg,1,-81.924,0.686,Femur,Forelius pruinosis
SiCr 3.5.jpg,2,-81.907,0.505,Scape,Forelius pruinosis
